,Cognitive Process,"	Agency, Control, Decisions","	Metacognition","	Realities of Job",Dependency,Elements of Performance,"	Collaboration / Ensemble","	Idle time, waiting","	Improvisation","	Instrument","	Musical Program / Set list","	Personality","	Preparation","	Social","		Audience Interface","			Approval","			Attention","			Audience Personnae","			Communication","			Emotional connection / relatability","			Engagement","			Expectations","			Participation","			Perceived disconnect","			Pressure","		Publicity / Reach","		Relationship with Co-performers","		Reputation of Co-Performers","	Sound quality","	Technique","	location during performance","	soundcheck",Emerging Problem,"Environment, Context, Surroundings","	Generalized","		Acoustic Quality","		Architectural intention","		Dislikes","		Preferences","		Venue Operation","	Venue","		Ambience approp. / Genre","		Ambience | Feel of Venue","		Architectural Intention","		Constructed Element","			Entry","			Stage","			green room","		Culture of Place","		Decorative Element","		Evocations","		Flexibility, Customizability","		Functional Element","		Identification of Venue","		Implied formality","		Movement procedure","		Perceived $ Value of Space or Items","		Physical Property ","		Popular Opinion","		Space form",Expressive Quality,"	Adopting Persona","	Ephemeral / Unique Value","	Exemplary Recording","	Experience","	On Listening",GREAT QUOTES,Mechanism,Mental-Emotional Elements,Physical Response,"	Acclimatization/ Adaptation",Requests for Architects/Designers,Sensory Observation and Perception,Totals
Cognitive Process,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,9
"	Agency, Control, Decisions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4
"	Metacognition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	Realities of Job",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,8
Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elements of Performance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"	Collaboration / Ensemble",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6
"	Idle time, waiting",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"	Improvisation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"	Instrument",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
